Label,MBI,MNDWI,NDVI,SAVI
2,0.0597622,-0.319626,0.603303,0.948593
2,0.102904,-0.358828,0.633381,0.987429
2,0.0654428,-0.28092,0.595352,0.925256
2,0.0296892,-0.268155,0.614327,0.947649
2,0.058314,-0.317022,0.575451,0.921374
2,0.0338315,-0.291165,0.59893,0.96046
2,0.0636064,-0.323864,0.603851,0.933604
2,0.0918084,-0.260671,0.515053,0.813914
2,0.078064,-0.349433,0.639852,0.948064
2,0.0926733,-0.322581,0.630431,0.940597
2,0.100782,-0.324079,0.576951,0.906359
2,0.0671886,-0.329974,0.639179,0.971478
2,0.0768725,-0.314699,0.577824,0.927035
2,0.0568519,-0.243781,0.592257,0.907757
2,0.0844884,-0.329483,0.578394,0.929781
2,0.0695475,-0.275261,0.564238,0.870582
2,0.119106,-0.356289,0.596851,0.937142
2,0.0749206,-0.325494,0.637441,0.969401
2,0.106478,-0.321038,0.598146,0.921417
2,0.0571,-0.297591,0.617559,0.925097
2,0.11377,-0.344278,0.601673,0.916885
2,0.0220459,-0.27878,0.654246,0.985692
2,0.0702595,-0.319054,0.617761,0.934706
2,0.041836,-0.281735,0.6405,0.966502
2,0.0914575,-0.334805,0.609164,0.915237
2,0.0664693,-0.310035,0.583786,0.958233
2,0.042051,-0.312514,0.65782,1.01616
2,0.0560074,-0.326279,0.640727,0.986478
3,0.168892,0.00181159,0.0108644,0.0355897
3,0.168101,0.00320954,0.00573614,0.0246769
3,0.160671,0.0421556,0.010929,0.0303303
3,0.163421,0.107289,0.00636943,0.0203574
3,0.165441,0.0277529,0.00512343,0.0292411
3,0.165477,0.0504879,0.0194004,0.0397663
3,0.167492,0.0710901,0.00889097,0.0174622
3,0.017894,0.512551,-0.196395,-0.251894
3,0.129552,0.37738,-0.239455,-0.280546
3,0.167385,0.299179,-0.211485,-0.297207
4,0.0989273,0.348087,-0.00786838,-0.0961748
4,0.126816,0.165064,0.00136302,0.0136013
4,0.099338,0.290925,-0.0277865,-0.0414182
4,0.110842,0.252786,0.000380952,-0.0315866
4,0.105364,0.265961,-0.0226493,-0.0246577
4,0.150471,0.266595,0.0551643,-0.0848517
4,0.12579,0.259824,-0.0058309,-0.0591929
4,0.100333,0.266534,-0.0475008,-0.0366632
4,0.129764,0.149291,-0.00824588,0.0230956
4,0.113438,0.269655,-0.00731962,-0.0536984
4,0.13787,0.0870567,0.0127137,0.0182872
4,0.131816,0.103847,0.00156617,0.0123229
1,0.0393831,0.0892541,0.199851,0.32962
1,0.14554,0.121879,-0.0258142,-0.020612
1,0.146249,0.078056,-0.0275,0.0307698
1,0.154844,0.0938615,-0.0255682,-0.000593491
1,0.17315,0.0388267,-0.0170455,0.0288623
1,0.162739,0.00550293,-0.0190871,0.0493595
1,0.144068,0.0955243,-0.0145943,0.00359142
2,0.0777439,-0.271812,0.61861,0.8951
2,0.0925405,-0.266483,0.495652,0.813161
